,Date,nps,Comment,comment
0,01-12-23 14:39,5,didnt accept my bank card,didnt accept my bank card
1,01-12-23 14:40,10,Facil y segura de manejar,Why are the flights cheap?
2,01-12-23 14:40,10,Por que los vuelos están económicos.,Easy and safe to drive
3,01-12-23 14:42,5,No recomiendo nada a nadie,I do not recommend anything to anyone
4,01-12-23 14:42,10,POR SU SERVICIO Y LO FACIL DE PODER COMPRAR POR LINEEA Y LO NUEVO DE LOS AVIONES,FOR ITS SERVICE AND HOW EASY IT IS TO BE ABLE TO BUY ONLINE AND THE NEW AIRPLANES
5,01-12-23 14:45,7,"Poner desde el inicio que ademas del TUA, se agregara el costo del asiento.","Put from the beginning that in addition to the TUA, the cost of the seat will be added."
6,01-12-23 14:56,2,El sistema no estuvo funcionando por un día entero.,The system was not working for a whole day.
7,01-12-23 14:59,10,BUEN SERVICIO,GOOD SERVICE
8,01-12-23 15:05,10,TODO OK,ALL OK
9,01-12-23 15:08,10,Exelente experiencia y precios muy convenientes,Excellent experience and very convenient prices
10,01-12-23 15:15,9,"Sencillo reservar, aunque muchas opciones que incrementan el costo","Easy to book, although many options that increase the cost"
11,01-12-23 15:15,10,comodo y economico,comfortable and cheap
12,01-12-23 15:20,10,por que tienen buenos horarios,because they have good hours
13,01-12-23 15:24,7,CUMPLIENDO LO QUE PROMETEN EN LA COMPRA DE SEGUROS,FULFILLING WHAT THEY PROMISE IN THE PURCHASE OF INSURANCE
14,01-12-23 15:25,10,Facil de entender,Easy to understand
15,01-12-23 15:26,10,muy confortable para hacer la reserva,very comfortable to make the reservation
16,01-12-23 15:29,10,Super Rapido y facil de reservar,Super fast and easy to book
17,01-12-23 15:34,9,Es fácil y claro,It's easy and clear
18,01-12-23 15:36,3,el proceso de pago con tarjeta de credito,credit card payment process
19,01-12-23 15:37,9,Porque me parece muy buen servicio,Because I think it's a very good service
20,01-12-23 15:38,9,Baratos los vuelos y dinamico lo que puedes o no adquirir,Cheap flights and dynamic what you can or cannot buy
21,01-12-23 15:51,0,"HAGAN EL PROCESIO MAS SENCILLO, NO PU7EDO PAGAR CON TARJETA DE CREDITO, ES IMPRESIONANTE, DE QUE ME SIRVE MANEJAR TARJETA SI NO ES POSIBLE USARLA CON USTEDES","MAKE THE PROCESS EASIER, I CANNOT PAY WITH A CREDIT CARD, IT IS IMPRESSIVE, WHAT IS THE USE OF HANDLING A CARD IF IT IS NOT POSSIBLE TO USE IT WITH YOU"
22,01-12-23 15:58,7,"que aparezca la selección de asiento, no me dejo entrar a seleccionar el asiento","the seat selection appears, it won't let me enter to select the seat"
23,01-12-23 15:59,10,buen servicio,good service
24,01-12-23 16:02,10,Porque tienen vuelos a buen precio y la pagina es muy sencilla de seguir,Because they have flights at a good price and the page is very easy to follow
25,01-12-23 16:07,10,Muy rapido y sencillo,Very fast and simple
26,01-12-23 16:08,10,sistema muy amigable,very friendly system
27,01-12-23 16:10,0,que tengan una mejor asistencia pues no aceptan mas de una tarjeta y realmente una chinga comprar el vuelo y la verdad luego se pierde la manera de poder pagar la opcion que se esta solicitando la verdad muy pesimo y deficiente el servicio de la aerolinea,That they have better assistance because they do not accept more than one card and it really sucks to buy the flight and the truth is then the way to pay for the option that is being requested is lost. The truth is very terrible and deficient the airline service
28,01-12-23 16:12,10,muy bien,very good
29,01-12-23 16:12,10,"buen servicio, calidad y un precio accesible al publico que usa los servicios","good service, quality and a price accessible to the public that uses the services"
30,01-12-23 16:13,10,FACILIDAD DE USO,EASY TO USE
31,01-12-23 16:16,8,mejorar un poco de todo,improve a little bit of everything
32,01-12-23 16:18,10,es practica y facil,it is practical and easy
33,01-12-23 16:18,10,Practicidad y rapidez,Practicality and speed
34,01-12-23 16:20,9,ES AMIGABLE,HE IS FRIENDLY
35,01-12-23 16:23,9,"ES PRACTICO Y CONFIABLE,RECIBES LO QUE TE OFRECE","IT IS PRACTICAL AND RELIABLE, YOU RECEIVE WHAT IT OFFERS YOU"
36,01-12-23 16:28,7,ES LENTA Y NO TAN AMIGABLE CON TANTAS OPCIONES,IT IS SLOW AND NOT SO FRIENDLY WITH SO MANY OPTIONS
37,01-12-23 16:30,10,Siempre excelente servicio,always excellent service
38,01-12-23 16:30,3,Me aumentaron el precio del vuelo porque mi sesión expiró,They increased the price of the flight because my session expired
39,01-12-23 16:32,10,RAPIDO Y SENCILLO,FAST AND EASY
40,01-12-23 16:32,10,"RÁPIDO, CLARO Y ÁGIL. GRACIAS","FAST, CLEAR AND AGILE. THANK YOU"
41,01-12-23 16:36,8,no obligar a elegir asientos,do not force to choose seats
42,01-12-23 16:38,10,fue facil la comprA,the purchase was easy
43,01-12-23 16:39,10,"el servicio es bueno ,claro y rapido","the service is good, clear and fast"
44,01-12-23 16:40,9,Hay falla al momento de Prepagar el TUA,There is a failure at the time of Prepaying the TUA
45,01-12-23 16:41,10,"ES MUY AMIGABLE Y ME PARECIO FACIL DE ENTENDER, ADEMAS QUE OFRECEN MUCHOS SERVICIOS PARA LA GENTE DE LA 3A. EDAD. GRACIAS!","HE IS VERY FRIENDLY AND I SEEMED EASY TO UNDERSTAND, IN ADDITION THEY OFFER MANY SERVICES FOR THE PEOPLE OF LA 3A. AGE. THANK YOU!"
46,01-12-23 16:42,0,su sistema de pago es una basura,their payment system is rubbish
47,01-12-23 16:44,8,Incluir TODO los extras en un solo paso,"It's not fair and I think it's even illegal, charging for seat selection and you include paid services included without my consent, I have to deactivate them"
48,01-12-23 16:44,1,"No es justo y creo que hasta ilegal, cobrar en la seleccion del asiento y me incluyes servicios con costo incluidos sin mi consentimiento, los tengo que desactivar",Include ALL the extras in one step
49,01-12-23 16:44,10,RÁPIDO Y FACIL,QUICK AND EASY
50,01-12-23 16:44,10,Es amigable y fácil de usar,It is friendly and easy to use
51,01-12-23 16:44,10,ES EXCELENTE,IT'S EXCELLENT
52,01-12-23 16:46,10,TODO CHIDO,TODO CHIDO
53,01-12-23 16:48,10,Rápido y fácil siempre y cuando se cuenten con los datos que soliciten,Quick and easy as long as they have the data they request
54,01-12-23 16:51,10,Me gusta su manera tan descriptiva de los vuelos precios etc,"I like your very descriptive way of flights, prices, etc."
55,01-12-23 16:56,10,SC,SC
56,01-12-23 16:58,10,Facil de usar,Easy to use
57,01-12-23 17:04,8,MAS SENCILLO EN  LOS PASOS AL MOMENTO DE COMPRAR BOLETO,EASIER IN THE STEPS AT THE TIME OF BUYING A TICKET
58,01-12-23 17:08,2,"INCLUIR EL TUA EN SUS PRECIOS YA QUE ES UN PAGO OBLIGATORIO. RESULTA ENGAÑOSO VER UN PRECIO BARATO SIN EL TUA",INCLUDE THE TUA IN YOUR PRICES SINCE IT IS A MANDATORY PAYMENT.
59,01-12-23 17:08,10,bien,IT IS MISLEADING TO SEE A CHEAP PRICE WITHOUT THE TUA
60,01-12-23 17:11,7,Simplificar,GOOD
61,01-12-23 17:15,10,Muy fácil y rápido,Simplify
62,01-12-23 17:15,9,"es muy amigable la pagina, facil de entender","The page is very friendly, easy to understand"
63,01-12-23 17:15,10,ATENCIION MUY CLARA Y PRECISA,VERY CLEAR AND PRECISE ATTENTION
64,01-12-23 17:16,10,Buen precio,very easy and fast
65,01-12-23 17:17,10,sencillo y muy entendible,Good price
66,01-12-23 17:17,10,muy rapido,very fast
67,01-12-23 17:19,10,es fácil de usar,simple and very understandable
68,01-12-23 17:19,10,"Sencillo de comprar y costos muy buenos. Deberían hacer más rutas directas desde Tampico a otras ciudades. Y agregar más frecuencias a las que ya tienen de vuelos directos. Internacional Houston es un buen mercado para ciudadanos tampiqueños.B.Rgds.",it's easy to use
69,01-12-23 17:20,10,Por ser muy práctico y eficaz,Easy to buy and very good prices. They should make more direct routes from Tampico to other cities. And add more frequencies to those that already have direct flights. International Houston is a good market for Tampican citizens.
70,01-12-23 17:23,7,haciendo el proceso de compra menos burocrático,B.Rgds.
71,01-12-23 17:23,10,GRACIAS,For being very practical and effective
72,01-12-23 17:23,10,Es muy rapido y seguro de comprar y los precios son accesibles,making the purchase process less bureaucratic
73,01-12-23 17:25,0,Tuve muchísimos problemas al querer hacer mi pago. Que desesperación.,It is very fast and safe to buy and the prices are accessible
74,01-12-23 17:28,7,hacienda mas sencilla,GRACIAS
75,01-12-23 17:29,6,PROBLEMAS DE LA PAGINA ..... EN CARGAR CONSTANTES ERRORES,I had a lot of problems trying to make my payment. what despair
76,01-12-23 17:30,10,Easy to reserve flights - cheap!,simpler farm
77,01-12-23 17:30,9,La pagina es amigable,PROBLEMS OF THE PAGE ..... ON LOADING CONSTANT ERRORS
78,01-12-23 17:31,10,todo muy facil,The page is friendly
79,01-12-23 17:32,9,por el precio e información,Easy to reserve flights - cheap!
80,01-12-23 17:39,9,esta bien,all very easy
81,01-12-23 17:44,9,COSTO Y FACILIDAD DEL VIAJE,for the price and information
82,01-12-23 17:44,10,RAPIDES EN RESERVACIONES,Alright
83,01-12-23 17:47,10,Todas.,COST AND EASE OF TRAVEL
84,01-12-23 17:51,10,TODO RAPIDO,QUICK RESERVATIONS
85,01-12-23 17:51,10,por la practicidad para comprar lo vuelos,All.
