,Date,nps,Comment,comment
0,01-12-23 14:39,5,didnt accept my bank card,It does not recognize any payment method
1,01-12-23 14:40,10,Facil y segura de manejar,The link to reset my pass word does not come through
2,01-12-23 14:40,10,Por que los vuelos están económicos.,CUCK
3,01-12-23 14:42,5,No recomiendo nada a nadie,"At the time of making the purchase, he is charging me additional (full refund) due to his not selecting anything additional"
4,01-12-23 14:42,10,POR SU SERVICIO Y LO FACIL DE PODER COMPRAR POR LINEEA Y LO NUEVO DE LOS AVIONES,What a pity that they add things to add is not fair!
5,01-12-23 14:45,7,"Poner desde el inicio que ademas del TUA, se agregara el costo del asiento.","ACCEPT DATE, BUT YOU CANNOT CHOOSE RETURN DATE, IT DOES NOT ADVANCE GREETINGS AND IT IS NOT THE FIRST TIME, THIS HAPPENS, ALL THE TIME SINCE THEY LAUNCHED THE BLESSED BETA. WELL I WASTED A LOT OF TIME."
6,01-12-23 14:56,2,El sistema no estuvo funcionando por un día entero.,Do not display the date to choose and is stunned
7,01-12-23 14:59,10,BUEN SERVICIO,Kindly process refund to original form of payment. PNR - DFUQXX
8,01-12-23 15:05,10,TODO OK,I am unable to complete my password reset. The sending code does not advance even when I press Enter. I'm in the app from my cell phone.
9,01-12-23 15:08,10,Exelente experiencia y precios muy convenientes,THEY ALMOST DON'T TAKE PROMOTIONS FROM CANCUN TO GUADALAJARA
10,01-12-23 15:15,9,"Sencillo reservar, aunque muchas opciones que incrementan el costo","Surnames with ""ñ"" are not contemplated within the application and at the time of purchase it asks to update the profile information, however, not in those that appear a ""ñ"" in their name/surname, the application changes it for a special sign , in my case for two "" ã "" + an apostrophe, when I want to change it to Ñ it does not let me, and there is no way to move forward or any help chat or place where it says what to do in the case of this type of letters of our alphabet and does not allow us to finalize the purchase."
11,01-12-23 15:15,10,comodo y economico,I only want to check the bags of 2 passengers and we flew 3 because it does not give that option to select the passengers who travel with bags to check
12,01-12-23 15:20,10,por que tienen buenos horarios,None of the options to reset my password work and now I can't reset it
13,01-12-23 15:24,7,CUMPLIENDO LO QUE PROMETEN EN LA COMPRA DE SEGUROS,"I tried to buy ETN tickets online and it couldn't because they say they have a restriction for discounted tickets. I went to the ticket office and the girl at the counter did NOT want to validate my membership in the doters program. It is a pity that they offer or promise things and they are not fulfilled. The one at the counter told me ""better use it another time"", but in the email they sent me it clearly says ""to be used in the next seven days""."
14,01-12-23 15:25,10,Facil de entender,I've been trying to recover my password for days but I never get the email to do it.
15,01-12-23 15:26,10,muy confortable para hacer la reserva,"Good afternoon, it does not allow you to make the payment, neither through the app, nor directly on the page, I have the TDC HSBC Viva and neither with that card, nor with Scotiabank, nor with AMEX."
16,01-12-23 15:29,10,Super Rapido y facil de reservar,"I need you to send me my invoice for the SIK3XE flight WITH THE DATE OF WEDNESDAY, DECEMBER 21, 2022 TO MY EMAIL: TO SEND IT TO THE COMPANY WHERE I WORK THE PAYMENT DOES NOT LET ME DOWNLOAD THE SHEET, BE SO KIND TO HELP ME"
17,01-12-23 15:34,9,Es fácil y claro,Does not send password to my email
18,01-12-23 15:36,3,el proceso de pago con tarjeta de credito,I can not access. I get the code but I can't enter
19,01-12-23 15:37,9,Porque me parece muy buen servicio,I can't change the flight and the waiting time on the phone is very long
20,01-12-23 15:38,9,Baratos los vuelos y dinamico lo que puedes o no adquirir,Anything
21,01-12-23 15:51,0,"HAGAN EL PROCESIO MAS SENCILLO, NO PU7EDO PAGAR CON TARJETA DE CREDITO, ES IMPRESIONANTE, DE QUE ME SIRVE MANEJAR TARJETA SI NO ES POSIBLE USARLA CON USTEDES",I am still looking at flight options for several people and the page has expired. It is impossible to buy like this
22,01-12-23 15:58,7,"que aparezca la selección de asiento, no me dejo entrar a seleccionar el asiento",Kindly process refund to original form of payment. PNR - SY9TGM
23,01-12-23 15:59,10,buen servicio,"I did not receive the reservation code, and they double charged my credit card. Flight. Veracruz - Cancun, on January 6, 2023 at 9:00 am Cancun - Veracruz, on January 11, 2023 at 7:50 pm Passengers: NORA Judith Vilaboa Segura and Héctor Horacio MENDEZ Leal"
24,01-12-23 16:02,10,Porque tienen vuelos a buen precio y la pagina es muy sencilla de seguir,The option to take a stroller is not clear and at the airport they told me yes and they charged me
25,01-12-23 16:07,10,Muy rapido y sencillo,"I did not find how to indicate that I am carrying a stroller, since on my last flight they charged me the cost of transporting a stroller but the option of a baby package is not on their page"
26,01-12-23 16:08,10,sistema muy amigable,I can't recover my account. The page stays loading a century
27,01-12-23 16:10,0,que tengan una mejor asistencia pues no aceptan mas de una tarjeta y realmente una chinga comprar el vuelo y la verdad luego se pierde la manera de poder pagar la opcion que se esta solicitando la verdad muy pesimo y deficiente el servicio de la aerolinea,Option to only pay for a 55lb suitcase
28,01-12-23 16:12,10,muy bien,That I cannot find a place to report the mistreatment and discrimination that my husband suffered when he returned to CDMX from Zihuatanejo (flight VB1305)
29,01-12-23 16:12,10,"buen servicio, calidad y un precio accesible al publico que usa los servicios",YOU SHOULD HAVE PROMOTIONS WITH CARDS FOR MONTHS WITHOUT INTEREST :)
30,01-12-23 16:13,10,FACILIDAD DE USO,congratulations
31,01-12-23 16:16,8,mejorar un poco de todo,"There is no information on how to change the doters points anywhere on the page, in the app it only warns at the moment you cannot access this service, there is no customer service telephone number"
32,01-12-23 16:18,10,es practica y facil,"It is useless to ask to change the password if I put the security code and there is no way to proceed, nor does it advance automatically. It gets stuck on the input of the numbers. Also, you have to write each number independently and it's a headache to click on each textbox (which is not even exclusive to numbers) and have to put the number, instead of writing from the I start the 6 digits and that's it."
33,01-12-23 16:18,10,Practicidad y rapidez,How can I add points to the Doters program from a flight I bought a few days ago? I would appreciate an answer. Thank you.
34,01-12-23 16:20,9,ES AMIGABLE,"I am sooo upset because of 6,442 doters, they only discounted me $167 on the purchase of my bus tickets on ETN."
35,01-12-23 16:23,9,"ES PRACTICO Y CONFIABLE,RECIBES LO QUE TE OFRECE",What is a good service?
36,01-12-23 16:28,7,ES LENTA Y NO TAN AMIGABLE CON TANTAS OPCIONES,"I would like to know flight dates in November, when will it be possible to view them?"
37,01-12-23 16:30,10,Siempre excelente servicio,My dooters points do not appear and I received an email that I have 1550
38,01-12-23 16:30,3,Me aumentaron el precio del vuelo porque mi sesión expiró,Why do you have to upgrade to something more expensive to be able to continue with the reservation?
39,01-12-23 16:32,10,RAPIDO Y SENCILLO,They don't tell me how I can put my purchases to months
40,01-12-23 16:32,10,"RÁPIDO, CLARO Y ÁGIL. GRACIAS","It won't let me update my password, even though they send me the code several times there is no button that lets me go forward when I enter the code that it sends me and it doesn't go forward, I've already tried several times and it's impossible."
41,01-12-23 16:36,8,no obligar a elegir asientos,Uyjjqueu ya u la gr oh eiyirheirhjehieyiefw ir uy egu higienicos hgj fe kg egoehjehrjrhfjfhjfhjdjrjrjjfgjfjfhfjfjjffhjjfjghfhfhhfhfhfhfjgfjfhjrgeieg oh oh fg uy eh uhhhh dh ki eg kg h te idheieh HH dhkhdjdhkkjjdhfjhfkdgogdkehdyfifgidjdhjhdjkgw igual hhfjhfhfh djdjejjehehdjdgeifh oh ehihejrgiegjehir gg eujhfjrhjrhrhrrrhyryrurhrurjrhrgrugrurhrjeheiyuegrifhifhfihf oh rggifhfihfkhfkfhifh JJ fhjfjfkfnfjhgfiehjhkhfkfihfi????????? ?????????????????????????????????????????????????????? ?????????????????????????????????????????????????????? ?????????????????????????????????????????????????????? ?????????????????????????????????????????????????????? ??ffsrhdftfgfjgfbdvcvchh buscar Bely y Beto buscar Bely y Beto
42,01-12-23 16:38,10,fue facil la comprA,My points do not appear on the web profile and they do not appear when I want to use them with ally autovías
43,01-12-23 16:39,10,"el servicio es bueno ,claro y rapido",I can't continue with the purchase process
44,01-12-23 16:40,9,Hay falla al momento de Prepagar el TUA,"According to this they give you 2000 points to start and they are not reflected in my account, that gives me distrust"
45,01-12-23 16:41,10,"ES MUY AMIGABLE Y ME PARECIO FACIL DE ENTENDER, ADEMAS QUE OFRECEN MUCHOS SERVICIOS PARA LA GENTE DE LA 3A. EDAD. GRACIAS!",Very good rewards program
46,01-12-23 16:42,0,su sistema de pago es una basura,I bought 4 flights and it said that I started to accumulate points and they didn't add them
47,01-12-23 16:44,8,Incluir TODO los extras en un solo paso,"Australia has more than 4 states. I live in Victoria and it doesn't give me that possibility, my address is in Victoria just like my credit card."
48,01-12-23 16:44,1,"No es justo y creo que hasta ilegal, cobrar en la seleccion del asiento y me incluyes servicios con costo incluidos sin mi consentimiento, los tengo que desactivar","It is impossible to process a payment with you, the cards never, ever go through and finding support from Viva Aerobus is impossible. They need to significantly improve their rules on the logic of payments and rejections."
49,01-12-23 16:44,10,RÁPIDO Y FACIL,Why is there a charge of 486.16 in additions that charges for full refund? I did not choose that in my reservations
50,01-12-23 16:44,10,Es amigable y fácil de usar,THERE IS NO NEED TO PAY THE TOTAL REFUND AND THEY NO LONGER GIVE THE OPTION TO REMOVE IT
51,01-12-23 16:44,10,ES EXCELENTE,availability to add more than 3 destinations in a single purchase
52,01-12-23 16:46,10,TODO CHIDO,"THEY WASTE TIME, MENTIONING PROMOTIONAL RATES IN THE POST OFFICE THAT IS NOTHING TO SEE WHEN YOU WANT TO RESERVE. SINCE THE COSTS THAT MENTIONED ACCORDING TO ""PROMOTION"" ARE LOW AND AT THE MERE TIME THERE IS A TOTAL THAT WALKS THROUGH THE CLOUDS, LIKE YOU."
53,01-12-23 16:48,10,Rápido y fácil siempre y cuando se cuenten con los datos que soliciten,They have very interesting books
54,01-12-23 16:51,10,Me gusta su manera tan descriptiva de los vuelos precios etc,7 round trips and no points have been accumulated! It just doesn't work!!
55,01-12-23 16:56,10,SC,
56,01-12-23 16:58,10,Facil de usar,IT WON'T LET ME FINISH THE RESERVATION
57,01-12-23 17:04,8,MAS SENCILLO EN  LOS PASOS AL MOMENTO DE COMPRAR BOLETO,THE PAGE HAS PROBLEMS WITH CONSTA LINE TAKES YOU OUT AND DOES NOT LEAVE YOU THE ACTIVE DOTERS ACCOUNT.
58,01-12-23 17:08,2,"INCLUIR EL TUA EN SUS PRECIOS YA QUE ES UN PAGO OBLIGATORIO. RESULTA ENGAÑOSO VER UN PRECIO BARATO SIN EL TUA",YOU SHOULD MAKE YOUR PAGE HAVE A BETTER SUPPORT I HAVE ALL DAY TRYING TO GENERATE THE PURCHASE OF MY FLIGHTS AND IT DOESN'T ALLOW ME TO DO IT
59,01-12-23 17:08,10,bien,"Your application is disgusting, it doesn't load so fast anymore, it looks like a turtle and also it doesn't give you the option to choose the origin"
60,01-12-23 17:11,7,Simplificar,"It does not allow me to reset my password, it hangs when I click to send email or SMS."
61,01-12-23 17:15,10,Muy fácil y rápido,a
62,01-12-23 17:15,9,"es muy amigable la pagina, facil de entender",Have the possibility of being able to register recent retroactive accumulations. No ability to view activity either.
63,01-12-23 17:15,10,ATENCIION MUY CLARA Y PRECISA,"Why don't they include non-optional charges in the initial price? Of course it's an international flight, how can that be an extra?"
64,01-12-23 17:16,10,Buen precio,WON'T LET ME CHECK IN
65,01-12-23 17:17,10,sencillo y muy entendible,CHECK IN NOT AVAILABLE APPEARS
66,01-12-23 17:17,10,muy rapido,What should be put in the flight information THAT I MAKE SURE I HIRE AT THE TIME OF BOOKING AND THEY ANSWER I HAVE 55 MIN AND IT SAYS THAT MY WAITING TIME IS 15 SECONDS
67,01-12-23 17:19,10,es fácil de usar,Between yesterday and today I bought 13 plane tickets and no activity appears...why?
68,01-12-23 17:19,10,"Sencillo de comprar y costos muy buenos. Deberían hacer más rutas directas desde Tampico a otras ciudades. Y agregar más frecuencias a las que ya tienen de vuelos directos. Internacional Houston es un buen mercado para ciudadanos tampiqueños.B.Rgds.",I don't know why it doesn't let me make the change and the page says yes and it doesn't set limitations
69,01-12-23 17:20,10,Por ser muy práctico y eficaz,I made a purchase and I did not earn points
70,01-12-23 17:23,7,haciendo el proceso de compra menos burocrático,Cheers
71,01-12-23 17:23,10,GRACIAS,Be clearer in promotions
72,01-12-23 17:23,10,Es muy rapido y seguro de comprar y los precios son accesibles,"Yesterday I wanted to make a change in my reservation since it came out that it cost me $0 USD and I bought the extra combo. I got an error on the page repeatedly and it did not let me make the change, I contacted the support team of viva aerobus and no one answered me, causing me to not be able to make the change. Today I entered again to make the change and it came out to me that it is at $98 USD per person, which seems to me a terrible organization on your part since now they want to charge me 98 USD more when the error was made by your staff."
73,01-12-23 17:25,0,Tuve muchísimos problemas al querer hacer mi pago. Que desesperación.,"It does not let me enter my VIVAAMIGOS, being a benefit of the company towards the workers, PESIMO SINCE THE VIVAAMIGOS PAGE WAS REMOVED!!!!!!"
